comp_1,comp_2
9.727385,2.4973247
7.5338807,4.760216
8.501677,4.0964136
7.0003624,3.9976673
9.134371,4.854191
9.851716,2.5582862
6.7919936,3.6666915
7.640603,4.5619507
9.805372,3.855609
5.9992304,5.3602495
5.2899623,4.668644
6.6455965,5.091139
5.9850574,4.9343376
3.7653718,5.6683693
7.7267194,5.1078825
8.515643,5.161777
5.4874234,5.8700047
4.9201717,4.271421
5.3530097,4.873243
5.065585,3.9993582
4.9418364,4.4701033
6.7360897,3.9915023
9.359192,3.549916
2.7830694,4.5500774
8.556831,3.6370623
5.500176,4.1798725
8.931059,4.817273
5.039285,5.833563
6.9765105,3.7820215
9.618829,2.6533813
5.01396,5.1581535
6.833252,4.0994267
9.202889,3.2321634
4.7991357,4.7065516
7.819998,3.6957598
6.3540177,5.3013477
5.330417,5.920885
5.3268824,4.023973
4.6985636,5.2509303
9.109566,3.4409442
5.972508,4.457291
6.503161,4.3364644
8.594037,3.3388288
7.7289743,3.6580088
6.329275,4.220044
5.2625346,5.0739484
8.6902685,4.516887
7.5067806,4.4864674
9.473239,3.5092456
9.545692,2.5007198
4.705787,4.5561643
8.525838,4.660907
7.2981772,3.578927
5.5161505,4.7237926
6.3056126,5.33515
8.643301,3.6824007
3.3921514,4.509993
6.088258,4.4033775
5.3995337,4.8280964
8.543705,3.8553636
5.652217,5.213856
3.7667003,8.882114
2.925285,7.796844
3.5905118,8.924223
3.2711318,8.62284
3.7471373,5.8337994
3.829103,6.0251813
3.2824366,7.6123157
3.1330159,7.5431566
4.443123,7.800336
2.2256088,6.169342
3.988226,4.506531
4.2989902,5.7178555
3.7586467,8.120724
3.3516939,6.1939807
5.456218,4.76229
3.5398984,8.103539
4.3063684,8.227975
-0.51016045,4.8799105
3.5372121,6.0594783
3.164742,8.352831
3.5763507,6.988446
3.4369082,7.736526
3.2963314,8.343315
3.589171,8.901323
3.222421,8.392522
3.4570863,8.872289
3.9948936,8.637588
3.852232,8.717842
3.4737477,6.426561
3.2084785,7.867404
3.8319247,8.430425
3.5970519,8.227478
3.4254353,8.448913
3.7397707,6.155731
3.6702836,8.769333
4.1385093,8.268493
3.0731294,8.370951
4.0918,8.709382
3.497825,7.278337
3.416468,6.32341
2.5575445,4.5358253
5.019949,4.480349
3.2765574,7.445539
2.9651601,5.1233115
3.785483,4.2613335
4.4169483,7.07087
4.229647,7.2598042
3.8818586,8.477402
1.9227619,5.749645
4.127559,6.8584156
4.117121,7.400512
3.7440805,8.807842
4.841955,6.2977138
4.047871,5.7649713
3.8048723,6.0172453
4.8823047,4.2560225
3.02563,5.6782484
2.750746,5.6075025
3.4629626,5.9158688
3.347574,8.682369
4.402814,7.174792
4.2412176,7.7632594
2.6974025,6.08355
4.5641265,6.161113
2.897867,6.812298
4.989276,6.237925
1.8057437,5.8335996
3.1213465,8.320064
3.3085203,8.150526
5.222606,5.735003
4.329307,7.274481
3.9383972,7.289222
3.6324515,8.2435465
3.0268989,7.795834
4.7335353,6.4456267
4.0838227,8.384591
3.89452,6.4391546
2.687542,6.5246453
3.8611505,7.766422
9.696178,3.6398652
9.189969,5.066488
9.882111,2.8870032
7.876011,4.441043
8.272065,4.8054347
2.5449677,4.809936
5.797202,5.6242895
9.363502,2.6248875
9.653443,3.5239568
5.1707993,4.079836
6.589751,5.1972933
8.316208,4.4604745
9.223127,4.884358
8.282571,3.6544764
7.630461,3.5257807
9.866668,3.1372318
9.718722,3.3154488
9.940094,3.765224
8.970173,3.8157802
7.9768105,4.947141
7.723987,4.0953703
8.002124,4.382889
4.2107553,4.616717
9.459193,4.75312
8.680239,4.7429147
9.825266,3.6482036
8.002891,3.057225
8.148173,3.5471783
6.230398,5.43493
5.630201,4.563265
8.963078,3.2842658
6.4471383,5.3801694
9.294243,4.966194
4.6671896,5.7172294
8.692907,4.322804
6.780147,3.8166692
9.332156,4.870967
8.198158,4.2800493
8.047012,3.1051893
8.378767,4.8631206
9.804808,2.7348979
7.3684278,4.957786
9.026963,5.063002
8.684447,3.1460576
5.5455794,4.037428
9.948226,3.0538847
9.103697,4.948048
9.774298,3.9482205
9.535524,4.6902432
5.0016026,4.715693
2.6407225,5.7059774
2.4833102,5.9827642
4.5801673,4.3400216
1.6663753,5.7838497
4.5305433,4.174688
2.5791261,6.1652102
2.8991408,5.442768
3.3024032,5.545832
2.6564763,5.1643324
2.3648515,4.3833756
3.1994758,8.179243
2.364828,4.5497746
2.3793552,5.2422457
2.8159993,5.403467
2.8254209,6.2010336
4.2856503,4.7399955
2.888349,4.964407
1.7902604,5.953249
3.3946245,6.9450693
1.9652233,5.6030374
3.1193922,4.5191016
3.3014908,5.5894337
2.8411393,4.7306175
3.0583105,5.9196715
3.2116575,4.3826337
3.735929,6.7718453
3.1224484,6.574592
3.7175064,7.8062606
2.708267,5.181964
3.0082693,6.543248
2.6543503,4.880593
2.7540476,5.867613
2.7249234,4.379749
3.2915475,6.7398906
3.864781,6.904788
2.3904974,4.582032
2.785176,5.715874
2.612677,4.4444027
1.3481439,5.813136
2.5508962,5.855505
-0.08972879,5.3814445
0.06190703,5.470186
0.5225433,5.669029
0.22943245,5.0629926
-0.26056236,4.171872
-0.0035849577,4.4208407
0.17710702,5.089136
-0.05108884,5.005472
0.5528815,5.7104316
-0.21712582,5.1786246
-0.39588195,5.278889
0.045761038,4.3644238
0.7035337,4.4630833
-0.27043912,5.25324
0.49057004,4.9773726
-0.4589136,4.046164
-0.35616416,4.179863
-0.44836023,5.215588
-0.24580687,4.2476287
-0.3003746,4.2323775
0.3879505,5.6435976
-0.3161409,4.178659
-0.08640403,4.2991886
0.21642743,5.447624
-0.388151,5.203594
-0.013231977,5.2899814
0.30246127,4.8281965
0.21327913,4.613362
0.061636016,5.515984
-0.23458183,4.1765165
-0.528635,4.9812355
-0.36098567,4.1054425
0.4552408,4.756994
0.6357088,5.687049
0.537524,4.775382
8.938864,3.0355504
