comp_1,comp_2
8.167266,5.1014376
7.1299644,4.1284027
7.9894347,3.0862112
6.380436,3.8999553
8.372781,2.2107642
8.159975,5.0456004
6.107192,3.6047091
7.211514,3.8770866
9.2665415,3.7313879
5.6849875,5.2763596
4.9194646,4.733622
6.2810245,4.858859
5.6141376,4.887234
3.349462,5.585144
7.739856,2.8778765
8.140003,2.7184873
4.746056,5.779998
4.5605955,4.321126
4.9306355,4.967459
4.7423964,4.0170355
4.6179514,4.4761724
6.135832,3.972694
8.790295,3.8308055
2.5715098,4.2891207
7.9495964,2.2829854
5.1231666,4.257568
8.271643,2.379133
4.456764,5.8239746
6.2693453,3.643021
8.407005,4.952784
4.5654154,5.172942
6.4960866,4.1919293
8.616905,4.07013
4.422667,4.68309
7.0698857,2.8278112
6.0552406,5.1969395
4.6043143,5.9320016
4.976503,4.0806384
4.2425337,5.2530417
8.524616,3.8541155
5.515294,4.5083027
6.0791836,4.346794
8.249582,3.818246
7.0053177,2.8408854
5.820515,4.2312527
4.8208394,5.1396527
7.905798,2.7738857
7.045637,3.8258126
8.991195,3.932058
8.268668,5.058213
4.360948,4.609095
7.8863196,3.982464
6.521998,3.1105778
5.1162124,4.826671
6.050671,5.240015
8.130152,3.5063949
3.1617572,4.3542943
5.7036138,4.483693
4.9889603,4.9358673
8.090744,3.152435
5.310374,5.2434835
3.154513,8.828361
2.352096,7.7579503
2.9787652,8.865165
2.6638439,8.558039
3.308981,5.770349
3.3706872,5.9607964
2.7149882,7.537494
2.5530548,7.482205
3.8335075,7.754754
1.7862557,5.8254523
3.6667726,4.392826
3.838426,5.7055326
3.1690018,8.067792
2.8908,6.064053
5.063273,4.8573647
2.9434493,8.0400715
3.703325,8.175821
-0.660423,4.0237145
3.0845633,5.9619226
2.550902,8.287251
2.9862854,6.886889
2.8592007,7.660666
2.6930032,8.274866
2.9749897,8.841321
2.6228871,8.333138
2.847389,8.815594
3.3903167,8.586209
3.24648,8.663891
2.9765892,6.3186445
2.6246226,7.799598
3.2374866,8.372574
3.001526,8.168752
2.820226,8.382159
3.266167,6.0822244
3.0595915,8.712627
3.5356302,8.217863
2.4756165,8.332738
3.4853802,8.657368
2.9278893,7.19529
2.9292386,6.2095456
2.3379424,4.2612453
4.6614046,4.5284142
2.68759,7.37129
2.653148,4.8870726
3.5551474,4.157282
3.823939,7.022091
3.6338074,7.2108374
3.2786987,8.425959
1.5748135,5.342281
3.5568244,6.800784
3.520785,7.3495526
3.1329615,8.752865
4.3032904,6.34353
3.6132667,5.7390018
3.348778,5.9531746
4.527979,4.304996
2.6520536,5.492165
2.41247,5.3709564
3.0260017,5.80229
2.7436097,8.622106
3.8021598,7.1225147
3.643184,7.7102995
2.2512252,5.8443117
4.073272,6.1951876
2.3635244,6.624155
4.455707,6.3016286
1.4443358,5.410336
2.5072641,8.245327
2.710243,8.079652
4.624253,5.6756096
3.7247634,7.2216372
3.3500483,7.2238946
3.0348468,8.181642
2.4411402,7.735105
4.1989303,6.4911017
3.4809678,8.333454
3.3986583,6.3754096
2.2008986,6.303567
3.2719004,7.7071986
9.173425,4.0149283
8.596071,2.198733
8.053825,4.8145843
7.289928,3.5218856
7.643515,3.8573852
2.3194742,4.5141854
5.454787,5.571507
8.541966,4.874123
9.108114,4.0631533
4.8261137,4.1350513
6.206212,5.047201
7.8313093,3.243738
8.437022,2.066141
7.629609,2.6339548
6.8762217,2.703198
8.0333,4.5321946
8.691119,4.2877927
9.386792,3.8857162
8.518925,3.394497
7.4701724,4.199032
7.114252,3.303178
7.307298,3.04728
3.8510582,4.518083
8.638499,2.3479369
8.049153,2.5305555
9.244893,4.0003004
7.2580724,2.3159974
7.5075994,2.6385229
5.9114285,5.3158736
5.2243085,4.6542115
8.67641,3.9314032
6.311475,5.287993
8.707689,2.255577
4.1305957,5.7121525
7.860344,3.2126737
6.209118,3.847259
8.486044,2.2074733
7.506826,3.258139
7.2047915,2.37993
7.835512,3.6309593
8.071363,4.863857
6.8998656,4.1433315
8.397617,2.04343
8.577129,3.874798
5.190633,4.105214
7.9884453,4.6289296
8.413149,2.1625972
9.257375,3.658672
8.809697,2.4207168
4.6196666,4.7615438
2.2852008,5.449378
2.0666957,5.6940336
4.219038,4.3691645
1.3111601,5.3331957
4.1811934,4.1971755
2.131752,5.886294
2.5500908,5.2192965
2.934974,5.4080725
2.388247,4.8976593
2.1642888,4.0628967
2.5261092,8.009753
2.142636,4.2355866
2.0889714,4.9186196
2.5466666,5.238731
2.37368,5.9788384
3.9020624,4.6888185
2.6966307,4.71394
1.4089919,5.52685
2.8103614,6.8091083
1.6351696,5.1994133
2.890436,4.3036494
2.9271169,5.448952
2.6653645,4.462889
2.6415257,5.738353
2.9979107,4.1842146
3.1996875,6.694503
2.6026373,6.41898
3.1315043,7.748589
2.3906279,4.923405
2.4955895,6.3633227
2.3783455,4.606518
2.3497677,5.632776
2.505442,4.1098237
2.746939,6.6029434
3.2902868,6.8356466
2.1735055,4.2629294
2.4159667,5.4891343
2.4053938,4.1613097
0.998749,5.2941895
2.1622903,5.586792
-0.35759985,4.593698
-0.19369736,4.6947155
0.21552347,4.9720745
0.030901875,4.317822
-0.13872713,3.4560158
-0.0051991264,3.696396
-0.018464373,4.306333
-0.24839969,4.2988496
0.24605769,5.017726
-0.42651612,4.3766737
-0.6368784,4.4280534
0.050354987,3.6337166
0.6483952,3.851555
-0.49902722,4.4356284
0.31889263,4.286229
-0.3102402,3.2671838
-0.30112234,3.3634984
-0.70083493,4.359332
-0.18962185,3.4680936
-0.25755286,3.4398034
0.087094605,4.898678
-0.25815237,3.392782
-0.08373259,3.5530012
-0.046364523,4.6992693
-0.6165866,4.3565063
-0.24479146,4.5155044
0.16818038,4.113439
0.13930203,3.9047027
-0.20992836,4.7354765
-0.1795542,3.4071512
-0.7227471,4.1257453
-0.29731837,3.3295882
0.32808772,4.0848646
0.33702826,5.042891
0.40313828,4.1158347
8.38194,4.1988034
6.461467,3.3792481
7.223423,2.4549887
8.360392,4.146838
7.1166115,2.4018185
9.002588,4.047923
8.275756,5.0743356
8.199901,4.4151115
8.350123,4.8129883
8.363634,4.53916
6.5028586,3.3762414
4.3821173,4.203293
4.6619444,3.9171438
7.3727818,3.7580118
6.996003,3.9259021
6.9108996,2.7834294
6.814545,2.8727612
7.6920953,3.8006678
8.522838,3.7507777
8.019298,3.7809033
7.72307,5.020187
8.198212,2.71283
8.278559,3.2643013
6.9133782,3.0600402
8.402207,4.8986893
6.587641,3.6393592
8.09919,3.0104246
7.9345264,5.1203723
4.5070252,3.850018
6.09804,3.4881244
7.3863273,2.4816813
8.974213,4.0267243
8.303591,4.046244
6.7007484,3.1086226
8.069215,2.8889873
